Common_name ,Scientific_name ,taxa_group,taxa_phyla,taxa_class,Light_Level,Method,Mean_CFF_hz,Max_CFF_Hz,length_mm,Bodymass(g),Temp_max,Habitat,mode_of_life,mode_of-life_old,Eyes_removed,Notes,,
Spiny_dogfish,Squalus_acanthias,vert,elasmo,shark,low,ERG,20,20,720,2000,13,demersal,pred_forage,predator,no,,,
Cane_toad,Bufo_marinus,vert,amphibian,amphibian,low,ERG,6.7,7,200,2500,,terrestrial,pred_ballistic,predatory_omnivores/scavenger ,Yes,,,
Atlantic_croaker,Micropogonias_undulatus,vert,fish,fish,high,ERG,,59,300,2600,22,demersal,pred_forage,scavenger,,,,
Thornback_ray,Platyrhinoidis_triseriata,vert,elasmo,skate,low,VEP,,60,910,2676,17,demersal,pred_forage,scavenger,,used fishbase,,
Chicken,Gallus_gallus_domesticus,vert,aves,aves,high,Beh,,87,,2710,,terrestrial,herbivore,,,,,
brushtail_possum,Trichosurus_vulpecula,vert,mammalia,marsupial,low,Beh,22.4,22.4,,3000,,arboreal,pred_forage,,,,,
Cat,Felis_domesticus,vert,mammalia,carnivora,low,ERG,,47.5,,3054,,terrestrial,pred_pursuit,predator/ depends if wild or not ,,,,
Smooth_hounds,Mustelus_mustelus,vert,elasmo,shark,low,ERG,,29,100,3391.95,,demersal,pred_forage,,,used fishbase,,
Winter_skate,Raja_ocellata,vert,elasmo,skate,low,ERG,,30,760,3417.752,20,demersal,pred_forage,,,used fishbase,,
Rainbow_trout,Oncorhynchus_mykiss,vert,fish,fish,low,Beh,,27,,4000,10,benthopelagic,pred_ballistic,,,,,
Black_sea_bass,Centropristis_striata,vert,fish,fish,high,ERG,,52,300,4300,22,benthopelagic,pred_ballistic,,,could also be placed as forage,,
escolar ,Lepidocybium_flavobrunneum,vert,fish,fish,low,ERG,,9,1500,4500,23,pelagic,pred_ballistic,marine ,,,,
Sandbar_shark,Carcharhinus_plumbeus,vert,elasmo,shark,high,ERG,21,54,770,4700,25,benthopelagic,pred_ballistic,predator,no,might be persu hard to know,,
star_spotted_dogfish,Mustelus_manazo,vert,elasmo,shark,low,ERG,,10,2200,5700,,demersal,pred_forage,predator,,,,
Sand_bass,Paralabrax_nebulifer,vert,fish,fish,high,VEP,,60,670,6000,13,marine_reef,pred_ballistic,,,,,
Horn_shark,Heterodontus_francisci,vert,elasmo,shark,low,VEP,,20,970,7205.643,14,demersal,pred_forage,scavenger,,used fishbase,,
Rhesus_macaca,Macaca_mulatta,vert,mammalia,primate,high,Beh,,95,,7710,,terrestrial,herbivore,,,,,
Spotted_seatrout,Cynoscion_nebulosus,vert,fish,fish,high,ERG,,60,360,7900,22,demersal,pred_ballistic,predator,,,,
Brook_trout,Salvelinus_fontinalis,vert,fish,fish,high,ERG,,67,264,8000,,pelagic,pred_ballistic,predator,,,,
Weakfish,Cynoscion_regalis,vert,fish,fish,low,ERG,,42,500,8900,22,pelagic,pred_ballistic,predator?,,,,
Atlantic_spadefish,Chaetodipterus_faber,vert,fish,fish,high,ERG,,60,504,9000,22,marine_reef,pred_forage,scavenger,,,,
Shovelnose_guitarfish,Rhinobatos_productus,vert,elasmo,skate,low,VEP,,30,1700,9800,17,demersal,pred_forage,scavenger,,,,
Bowfin,Amia_calva,vert,fish,fish,low,ERG,,38,680,9800,,demersal,pred_ballistic,scavenger/oppertunist ,,,,
Tautog,Tautoga_onitis,vert,fish,fish,high,ERG,,48,910,11300,22,marine_reef,pred_forage,,,,,
Summer_flounder,Paralichthys_dentatus,vert,fish,fish,high,ERG,,52,940,12000,22,demersal,pred_ballistic,scavenger/oppertunistic,,,,
Dog,Canis_lupus_familiaris,vert,mammalia,mammalia,high,Beh,,75,,13900,,terrestrial,pred_forage,,,,,
Bluefish,Pomatomus_saltatrix,vert,fish,fish,high,ERG,,56,600,14400,22,pelagic,pred_pursuit,Predator?,,,,
Blacknose_shark,Carcharhinus_acronotus,vert,elasmo,shark,low,ERG,18,18,1045,14491,25,pelagic,pred_ballistic,,,,,
Port_jackson_shark,Heterodontus_portusjacksoni,vert,elasmo,shark,low,ERG,,28,390,23918.21,,demersal,pred_forage,predator,,need size,,
Common_snook,Centropomus_undecimalis,vert,fish,fish,low,ERG,,40,500,24300,25,pelagic,pred_ballistic,,,,,
salmon,Salmo_salar,vert,fish,fish,high,ERG,72,96,,35000,,pelagic,pred_ballistic,scavenger,,,,
Red_drum,Sciaenops_ocellatus,vert,fish,fish,high,ERG,,54,1000,45000,22,demersal,pred_ballistic,,,,,
Yellowfin_tuna ,Thunnus_albacares,vert,fish,fish,high,ERG,73,80,,45349,26,pelagic,pred_pursuit,,,,,
Striped_bass,Morone_saxatilis,vert,fish,fish,high,ERG,,74,1200,57000,22,demersal,pred_ballistic,scavenger/oppertunistic,,,,
Human,Homo_sapiens,vert,mammalia,primate,high,Beh,,60,,67100,,terrestrial,pred_forage,,,,,
Cobia,Rachycentron_canadum,vert,fish,fish,high,ERG,,65,1100,68000,22,marine_reef,pred_pursuit,predator,,,,
Lemon_shark,Negaprion_brevirostris,vert,elasmo,shark,low,ERG,,37,,92987,30,demersal,pred_ballistic,predator,,,,
Harp_seal,Pagophilus_groenlandicus,vert,mammalia,carnivora,low,Beh,,32.7,,119600,,benthopelagic,pred_ballistic,,,,,
Green_sea_turtle,Chelonia_mydas,vert,reptile,turtle,high,ERG,,40,,128000,,pelagic,pred_forage,Scavenger_omnivore ,,,,
Loggerhead,Caretta_caretta,vert,reptile,turtle,high,ERG,,40,,135000,,pelagic,pred_forage,,,,,
Bigeye_tuna,Thunnus_obesus,vert,fish,fish,low,ERG,,37,1250,210000,27,pelagic,pred_pursuit,predator?,,,,
Leatherback,Dermochelys_coriacea,vert,reptile,turtle,high,ERG,,15,,354000,,pelagic,pred_forage,,,,,
swordfish,Xiphias_gladius,vert,fish,fish,high,ERG,22,40,1600,550000,22,pelagic,pred_pursuit,predator,yes ,,,
Tiger_shark,Galeocerdo_cuvier,vert,elasmo,shark,low,ERG,,38,5000,807400,,benthopelagic,pred_ballistic,predator,,,,
red_white_cleaner_shrimp,Urocaridella_antonbruunii,invert,arthropod,crustacean,high,ERG,,40,10,,24,demersal,pred_forage,,,used same size as other cleaner shrimp,,
Brown_banded_bamboo_shark,Chiloscyllium,vert,elasmo,shark,,ERG,,44,380,,,,,predator,,need_size,,
