"","taxa_group","taxa_phyla","taxa_class","Light_Level","Method","Max_CFF_Hz","Bodymass.g.","Habitat","mode_of_life"
"Morone_saxatilis","vert","fish","fish","high","ERG",74,57000,"demersal","pred_ballistic"
"Lutjanus_griseus","vert","fish","fish","low","ERG",47,1057.91,"pelagic","pred_ballistic"
"Lagodon_rhomboides","vert","fish","fish","high","ERG",44,1500,"demersal","pred_forage"
"Cynoscion_nebulosus","vert","fish","fish","high","ERG",60,7900,"demersal","pred_ballistic"
"Cynoscion_regalis","vert","fish","fish","low","ERG",42,8900,"pelagic","pred_ballistic"
"Micropogonias_undulatus","vert","fish","fish","high","ERG",59,2600,"demersal","pred_forage"
"Sciaenops_ocellatus","vert","fish","fish","high","ERG",54,45000,"demersal","pred_ballistic"
"Leiostomus_xanthurus","vert","fish","fish","high","ERG",55,450,"demersal","pred_forage"
"Chaetodipterus_faber","vert","fish","fish","high","ERG",60,9000,"demersal","pred_forage"
"Tautoga_onitis","vert","fish","fish","high","ERG",48,11300,"demersal","pred_forage"
"Oncorhynchus_mykiss","vert","fish","fish","low","Beh",27,4000,"benthopelagic","pred_ballistic"
"Salmo_salar","vert","fish","fish","high","ERG",96,35000,"pelagic","pred_ballistic"
"Salvelinus_fontinalis","vert","fish","fish","high","ERG",67,8000,"pelagic","pred_ballistic"
"Carassius_auratus","vert","fish","fish","high","ERG",67.2,10.8,"pelagic","pred_forage"
"Anguilla_anguilla","vert","fish","fish","low","Beh",14,71.1,"demersal","pred_forage"
"Amia_calva","vert","fish","fish","low","ERG",38,9800,"demersal","pred_ballistic"
"Leucoraja_erinacea","vert","elasmo","skate","low","ERG",30,309.57,"demersal","pred_forage"
"Platyrhinoidis_triseriata","vert","elasmo","skate","low","VEP",60,2676,"demersal","pred_forage"
"Rhinobatos_productus","vert","elasmo","skate","low","VEP",30,9800,"demersal","pred_forage"
"Squalus_acanthias","vert","elasmo","shark","low","ERG",20,2000,"demersal","pred_forage"
"Heterodontus_francisci","vert","elasmo","shark","low","VEP",20,7205.643,"demersal","pred_forage"
"Heterodontus_portusjacksoni","vert","elasmo","shark","low","ERG",28,23918.21,"demersal","pred_forage"
"Hemiscyllium_ocellatum","vert","elasmo","shark","low","ERG",40,487.38,"demersal","pred_forage"
"Galeocerdo_cuvier","vert","elasmo","shark","low","ERG",38,807400,"benthopelagic","pred_ballistic"
"Sphyrna_lewini","vert","elasmo","shark","low","ERG",27.3,1893,"pelagic","pred_ballistic"
"Sphyrna_tiburo","vert","elasmo","shark","high","ERG",31,1824.59,"demersal","pred_forage"
"Carcharhinus_plumbeus","vert","elasmo","shark","high","ERG",54,4700,"benthopelagic","pred_ballistic"
"Carcharhinus_acronotus","vert","elasmo","shark","low","ERG",18,14491,"pelagic","pred_ballistic"
"Negaprion_brevirostris","vert","elasmo","shark","low","ERG",37,92987,"demersal","pred_ballistic"
"Mustelus_canis","vert","elasmo","shark","low","ERG",13,1570,"demersal","pred_forage"
"Mustelus_mustelus","vert","elasmo","shark","low","ERG",29,3391.95,"demersal","pred_forage"
"Mustelus_manazo","vert","elasmo","shark","low","ERG",10,5700,"demersal","pred_forage"
"Haploblepharus_edwardsii","vert","elasmo","shark","low","ERG",29,1321.309,"demersal","pred_forage"
