Common_name ,Scientific_name ,taxa_group,taxa_phyla,taxa_class,Light_Level,Method,Mean_CFF_hz,Max_CFF_Hz,length_mm,Bodymass(g),Temp_max,Habitat,mode_of_life,mode_of-life_old,Eyes_removed,Notes,
Striped_bass,Morone_saxatilis,vert,fish,fish,high,ERG,,74,1200,57000,22,demersal,pred_ballistic,scavenger/oppertunistic,,,
Striped_mullet,Mugil_cephalus,vert,fish,fish,high,VEP,,100,500,,26,bathypelagic,pred_forage,,,,
Smooth_dogfish,Mustelus_canis,vert,elasmo,shark,low,ERG,13,13,910,1570,20,demersal,pred_forage,predator,no,,
star_spotted_dogfish,Mustelus_manazo,vert,elasmo,shark,low,ERG,,10,2200,5700,,demersal,pred_forage,predator,,,
Smooth_hounds,Mustelus_mustelus,vert,elasmo,shark,,ERG,,29,850,,,,predator,,,no size,
Lemon_shark,Negaprion_brevirostris,vert,elasmo,shark,low,ERG,,37,,92987,30,demersal,pred_ballistic,predator,,,
Euphausiid_shrimp,Nematobrachian_boopis,invert,arthropod,crustacean,low,ERG,,50,,0.072,5,bathypelagic,pred_ballistic,scavenger,,,
Euphausiid_shrimp,Nematobrachion_flexipes,invert,arthropod,crustacean,low,ERG,44,44,,0.038,8,bathypelagic,pred_ballistic,,,not sure on predatory need to check,
Euphausiid_shrimp,Nematobrachion_sexpinosus,invert,arthropod,crustacean,low,ERG,,54,,0.13,5,bathypelagic,pred_ballistic,scavenger,no,,
Euphausiid_shrimp,Nematoscelis_megalops,invert,arthropod,crustacean,low,ERG,,48,,0.066,5,bathypelagic,pred_ballistic,scavenger,no,,
yellowpine chipmunk,Tamias_ameonus,vert,mammalia,rodent,high,ERG,100,108,245,73,,terrestrial,herbivore,scavenger,,,
Rainbow_trout,Oncorhynchus_mykiss,vert,fish,fish,low,Beh,,27,,4000,10,benthopelagic,pred_ballistic,,,,
oplophorid_shrimp,Oplophorus_gracilirostris,invert,arthropod,crustacean,low,ERG,,32,,0.26,8,bathypelagic,pred_ballistic,scavenger,,not sure on predatory need to check,
Japenese_Rice_fish,Oryzias_latipes,vert,fish,fish,low,ERG,,37.2,32,0.21,25,benthopelagic,pred_forage,scavenger,,,
Harp_seal,Pagophilus_groenlandicus,vert,mammalia,carnivora,low,Beh,,32.7,,119600,,benthopelagic,pred_ballistic,,,,
Hermit_crab,Pagurus_bernhardus,invert,arthropod,crustacean,high,ERG,53,56,,7.3,,demersal,pred_forage,scavenger,,,
Harris_falcon,Parabuteo_unicinctus,vert,aves,aves,high,Beh,67,,,950,,volant,pred_pursuit,,,,
Harris_falcon,Parabuteo_unicinctus,vert,aves,aves,high,Beh,71,,,950,,volant,pred_pursuit,,,,
Harris_falcon,Parabuteo_unicinctus,vert,aves,aves,high,Beh,81,,,950,,volant,pred_pursuit,,,,
Sand_bass,Paralabrax_nebulifer,vert,fish,fish,high,VEP,,60,670,6000,13,marine_reef,pred_ballistic,,,,
Summer_flounder,Paralichthys_dentatus,vert,fish,fish,high,ERG,,52,940,12000,22,demersal,pred_ballistic,scavenger/oppertunistic,,,
Glass_shrimp,Pasiphaea_multidentata,invert,arthropod,crustacean,low,ERG,,21,,7.39,5,bathypelagic,pred_ballistic,scavenger,no,,
American_cockroach,Periplaneta_americano,invert,arthropod,insect,low,ERG,42.5,60,,42.5,,terrestrial,scavenger,scavenger,,,
Firefly,Photinus_pyralis ,invert,arthropod,insect,low,ERG,40,,,0.013,,volant,pred_ballistic,volant,,,
Thornback_ray,Platyrhinoidis_triseriata,vert,elasmo,skate,high,VEP,,60,910,,17,demersal,,scavenger,,no size,
guppy,Poecilia_reticulata,vert,fish,fish,high,Beh,67,67,28,,,benthopelagic,,,,no size,
Bluefish,Pomatomus_saltatrix,vert,fish,fish,high,ERG,,56,600,14400,22,pelagic,pred_pursuit,Predator?,,,
Cobia,Rachycentron_canadum,vert,fish,fish,high,ERG,,65,1100,68000,22,marine_reef,pred_pursuit,predator,,,
Skate ,Raja_erinacea,vert,elasmo,skate,low,ERG,,30,,500,,demersal,pred_ballistic,,,,
Winter_skate,Raja_ocellata,vert,elasmo,skate,low,ERG,,30,760,,20,demersal,pred_ballistic,,,no size,
green_frog,Rana_clamitans,vert,amphibian,amphibian,low,ERG,21,21,80,60,,terrestrial,pred_ballistic,predator_oppertunistic,yes,,
Rat,Rattus_norvegicus,vert,mammalia,rodent,low,ERG,,39,,237,,terrestrial,pred_forage,scavenger,,,
Shovelnose_guitarfish,Rhinobatos_productus,vert,elasmo,skate,low,VEP,,30,1700,9800,17,demersal,pred_forage,scavenger,,,
Red_palm_weevil,Rynchophorus_ferrugineus,invert,arthropod,insect,high,ERG,,100,,1.8,,volant,herbivore,volant,room_temp,,
salmon,Salmo_salar,vert,fish,fish,high,ERG,72,96,,35000,,benthopelagic,pred_ballistic,scavenger,,,
Brook_trout,Salvelinus_fontinalis,vert,fish,fish,high,ERG,,67,264,8000,,benthopelagic,pred_ballistic,predator,,,
Emperor_moth,Saturnia_pavonia,invert,arthropod,insect,low,ERG,75,85,,0.34,,volant,herbivore,volant,,,
Red_drum,Sciaenops_ocellatus,vert,fish,fish,high,ERG,,54,1000,45000,22,demersal,pred_ballistic,,,,
longspine_thornyhead,Sebastolobus_altivelis,vert,fish,fish,low,VEP,,10,390,,8,demersal,pred_forage,Marine ,,no size,
Sergestid_shrimp,Sergestes_arcticus,invert,arthropod,crustacean,low,ERG,,21,,0.62,5,benthopelagic,pred_ballistic,scavenger,no,,
Ground_squirrel,Spermophilus_lateralis,vert,mammalia,rodent,high,ERG,,108,,215.5,,terrestrial,herbivore,,,,
Tuatara,Sphenodon_punctatus,vert,reptile,reptile,low,Beh,,55.4,,353.75,,terrestrial,herbivore,,,,
Scalloped_hammerhead,Sphyrna_lewini,vert,elasmo,shark,low,ERG,27,27.3,561,1893,25,pelagic,pred_ballistic,predator,,,
Bonnethead_shark,Sphyrna_tiburo,vert,elasmo,shark,high,ERG,,31,816,,25,marine_reef,pred_ballistic,predator,,no size,
Spiny_dogfish,Squalus_acanthias,vert,elasmo,shark,low,ERG,20,20,720,2000,13,demersal,pred_forage,predator,no,,
Common_starling ,Sturnus_vulgaris,vert,aves,aves,high,ERG,,100,,75,,volant,herbivore,,,,
Euphausiid_shrimp,Stylocheiron_maximum,invert,arthropod,crustacean,high,ERG,,44,,0.048,5,bathypelagic,pred_ballistic,scavenger,no,,
oplophorid_shrimp,Systellaspis_debilis,invert,arthropod,crustacean,low,ERG,,21,,0.28,8,bathypelagic,pred_ballistic,scavenger,no,,
Yellowpine_chipmunk,Tamias_ameonus,vert,mammalia,rodent,high,ERG,,100,,51.91,,terrestrial,herbivore,,,,
