CFF_reference,Critical_appraisal_keep,Critical_appraisal,Class,Spname_common,Spname_raw,Species_phylo,Spname_accepted,habitat,forage_light_level,mode_of_life,mode-of_life_ref,body_mass_us,body_mass_ref,Method_raw,Method,CFF_value_type,CFF_raw,CFF_variability,CFF_variability_type,CFF,CFF_max,Comments_from_2022,,,,,,,,,,,,
"BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK 1990 DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK",y,M,Actinopterygii,Yellowfin tuna,Thunnus albacares,Thunnus_albacares,"Thunnus albacares Bonnaterre, 1788",pelagic,high,pursuit,"Schaefer, K.M., Fuller, D.W. and Block, B.A., 2007. Movements, behavior, and habitat utilization of yellowfin tuna (Thunnus albacares) in the northeastern Pacific Ocean, ascertained through archival tag data. Marine Biology, 152, pp.503-525.",25317,"Schaefer, K.M., Fuller, D.W. and Block, B.A., 2007. Movements, behavior, and habitat utilization of yellowfin tuna (Thunnus albacares) in the northeastern Pacific Ocean, ascertained through archival tag data. Marine Biology, 152, pp.503-525.",ERG,Electrophysiology,range,60 - >100,Unknown,NA,80,100,range of individual lower fusion frequency (not averaged),,,,,,,,,,,,
"Buschbeck, EK; Ehmer, B; Hoy, RR 2003 The unusual visual system of the Strepsiptera: external eye and neuropils The unusual visual system of the Strepsiptera: external eye and neuropils Buschbeck, EK; Ehmer, B; Hoy, RR",y,H,Insecta,NA,Xenos peckii,Xenos_peckii,"Xenos pecki Kirby, 1813",volant,high,forage,"Druart, G., Guérineau, N., Haïdar, R., Thétas, S., Taboury, J., Rommeluère, S., Primot, J. and Fendler, M., 2009. Demonstration of an infrared microcamera inspired by Xenos peckii vision. Applied optics, 48(18), pp.3368-3374.",0.00102,"Druart, G., Guérineau, N., Haïdar, R., Thétas, S., Taboury, J., Rommeluère, S., Primot, J. and Fendler, M., 2009. Demonstration of an infrared microcamera inspired by Xenos peckii vision. Applied optics, 48(18), pp.3368-3374.",ERG,Electrophysiology,mean,35,Unknown,NA,35,35,"""exceeds 35 Hz on average""; ""critical fusion frequency lies around""",,,,,,,,,,,,
"Callahan, TL; Petry, HM 2000 Psychophysical measurement of temporal modulation sensitivity in the tree shrew (Tupaia belangeri) Psychophysical measurement of temporal modulation sensitivity in the tree shrew (Tupaia belangeri) Callahan, TL; Petry, HM",y,M,Mammalia,Northern treeshrew,Tupaia belangeri,Tupaia_belangeri,"Tupaia belangeri Wagner, 1841",arboreal,high,forage,"Collins, P.M. and Tsang, W.N., 1987. Growth and reproductive development in the male tree shrew (Tupaia belangeri) from birth to sexual maturity. Biology of Reproduction, 37(2), pp.261-267.",270,"Collins, P.M. and Tsang, W.N., 1987. Growth and reproductive development in the male tree shrew (Tupaia belangeri) from birth to sexual maturity. Biology of Reproduction, 37(2), pp.261-267.",Behavioural,Behavioural,minimum,>50,Unknown,NA,50,50,high frequency cut-off beyond 50 Hz ; 80-100 Hz for ERG in other studies from the 60's,,,,,,,,,,,,
"CARVALHO, P. S. M.; NOLTIE, D. B.; TILLITT, D. E. 2004 Biochemical, histological and behavioural aspects of visual functioning during early development of rainbow trout Biochemical, histological and behavioural aspects of visual functioning during early development of rainbow trout CARVALHO, P. S. M.; NOLTIE, D. B.; TILLITT, D. E.",y,M,Actinopterygii,Rainbow trout,Oncorhynchus mykiss,Oncorhynchus_mykiss,"Oncorhynchus mykiss Walbaum, 1792",benthopelagic,low,ballistic,"Gabriel J. Rossi, Mary E. Power, Shelley Pneh, Jason R. Neuswanger, and Timothy J. Caldwell. 2021. Foraging modes and movements of Oncorhynchus mykiss as flow and invertebrate drift recede in a California stream. Canadian Journal of Fisheries and Aquatic Sciences. 78(8): 1045-1056. ",2391.21,fisebase_60cm common length,Behavioural,Behavioural,mean,27.1,Unknown,NA,27.1,27.1,highest mean value for 90 days post hatch and max illuminance of 4.42E-05 W cm-2,,,,,,,,,,,,
"Carvalho, PSM; Noltie, DB; Tillitt, DE 2002 Ontogenetic improvement of visual function in the medaka Oryzias latipes based on an optomotor testing system for larval and adult fish Ontogenetic improvement of visual function in the medaka Oryzias latipes based on an optomotor testing system for larval and adult fish Carvalho, PSM; Noltie, DB; Tillitt, DE",y,M,Actinopterygii,Medaka,Oryzias latipes,Oryzias_latipes,"Oryzias latipes Temminck & Schlegel, 1846",benthopelagic,low,forage,,0.21,,Behavioural,Behavioural,mean,37.2,Unknown,NA,37.2,37.2,adult (65 days post hatch) (for 10 days posthatch: 18 Hz ; for juveniles: 26 Hz) at maximum illuminance ; cannot distinguish movement of the stripes,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,Tawny Coster,Acraea terpsichore,Acraea_terpsichore,"Acraea terpsichore Linnaeus, 1758",volant,high,forage,,0.1,,ERG,Electrophysiology,mean,169,19.8,SE,169,183,mean and SE from AL;  155-183 Hz range of individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,E,Insecta,NA,Ariadne ariadne,Ariadne_ariadne_ariadne,"Ariadne ariadne Linnaeus, 1763",volant,high,forage,,0.1,,ERG,Electrophysiology,NA,205,NA,NA,NA,205,individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,E,Insecta,NA,Moduza procris,Moduza_procris_milonia,"Moduza procris Cramer, 1777",volant,high,forage,,0.1,,ERG,Electrophysiology,NA,199,NA,NA,NA,199,individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,E,Insecta,Core,Euploea core,Euploea_core_godartii,"Euploea coreCramer, 1780",volant,high,forage,,0.1,,ERG,Electrophysiology,NA,208,NA,NA,NA,208,individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,E,Insecta,NA,Junonia lemonias,Junonia_lemonias_lemonias,"Junonia lemonias Linnaeus, 1758",volant,high,forage,,0.1,,ERG,Electrophysiology,NA,203,NA,NA,NA,203,individual values ; no illuminance trial,,,,,,,,,,,,
