CFF_reference,Critical_appraisal_keep,Critical_appraisal,Class,Spname_common,Spname_raw,Species_phylo,Spname_accepted,habitat,forage_light_level,mode_of_life,mode-of_life_ref,body_mass_us,body_mass_ref,Method_raw,Method,CFF_value_type,CFF_raw,CFF_variability,CFF_variability_type,CFF,CFF_max,Comments_from_2022,,,,,,,,,,,,
"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",y,M,Malacostraca,NA,Eugonatonotus crassus,Eugonatonotus_crassus,"Eugonatonotus crassus A.Milne-Edwards, 1881",demersal,low,forage,based on general description of related species,2.84,"Based on mean total length of 75.82mm from Chan, T.Y. and Yu, H.P., 1988. An uncommon deep-sea shrimp Eugonatonotus crassus (A. Milne Edwards, 1881)(Crustacea: Decapoda: Eugonatonotidae) from Taiwan. Bulletin of the Institute of Zoology, Academica Sinica, 27, pp.259-263. Scaling relationship based on with -2.3646 b 3.2033 from the data in Kuberan, G., Chakraborty, R.D. and Sarada, P.T., 2022. Length–weight relationship (LWR) and condition factor (K) of a deepsea shrimp Heterocarpus chani Li, 2006 (Decapoda: Caridea: Pandalidae) from Southern Coast of Indian EEZ. Thalassas: An International Journal of Marine Sciences, pp.1-9. ",ERG,Electrophysiology,mean,24,Unknown,NA,24,24,"mean but no SE  because only 2 individuals ; scotopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",y,M,Malacostraca,squate lobster,Eumunida picta,Eumunida_picta,"Eumunida picta Smith, 1883",demersal,low,forage,"Based on feeding behaviour of effectively drift feeding from Nizinski, M.S., McClain-Counts, J.P. and Ross, S.W., 2023. Habitat utilization, demography, and behavioral observations of the squat lobster, Eumunida picta (Crustacea: Anomura: Eumunididae), on western North Atlantic deep-water coral habitats. Deep Sea Research Part I: Oceanographic Research Papers, 193, p.103953.",8.6,"Based on CL of 29.2mm from (Habitat utilization, demography, and behavioral observations of the squat lobster, Eumunida picta (Crustacea: Anomura: Eumunididae), on western North Atlantic deep-water coral habitats). Using the allometry of CL with weight for Munidia Rugosa using the equation 2.84*(log(29.2)) -log(2.76) gives 8.6 grams from (ASPECTS OF TH E BIOLOGY OF TH E SQUAT LOBSTER, MUNIDA RUGOSA (FABRICIUS, 1775) Khadija Abdulla Yousuf Zainal, 1990)",ERG,Electrophysiology,mean,11,2,NA,11,13,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,,,,,,,I stopped here and could not find a reference for the foraging stratagy,,,,
"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",y,E,Malacostraca,NA,Heterocarpus ensifer,Heterocarpus_ensifer,"Heterocarpus ensifer A.Milne-Edwards, 1881",demersal,low,forage,"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",1.46,"based on mean total length of 15.6cm from sealifebase and the  Scaling relationship based on with -2.3646 b 3.2033 from the data in Kuberan, G., Chakraborty, R.D. and Sarada, P.T., 2022. Length–weight relationship (LWR) and condition factor (K) of a deepsea shrimp Heterocarpus chani Li, 2006 (Decapoda: Caridea: Pandalidae) from Southern Coast of Indian EEZ. Thalassas: An International Journal of Marine Sciences, pp.1-9. ",ERG,Electrophysiology,NA,16,NA,NA,NA,16,individual value ; scotopic,,,Not sure why they don't use this go back and check,,,,,,,,,
"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",y,E,Malacostraca,NA,Munidopsis erinacea,Munidopsis_erinacea,"Munidopsis erinacea A.Milne Edwards, 1880",demersal,low,forage,"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",6,"Based on using 11.6mm carapace length from (Spatial distribution and egg production in squat lobsters (Decapoda: Munididae, Munidopsidae) from the collection of the Museu de Zoologia of the Universidade de São Paulo, Brazil) and the equation used for Eumunida gives 6 grams ",ERG,Electrophysiology,NA,12,NA,NA,NA,12,individual value ; scotopic,,,Not sure why they don't use this,,,,,,,,,
"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",y,E,Malacostraca,NA,Bathynectes longipes,Bathynectes_longipes,"Bathynectes longipes Risso, 1816",demersal,low,forage,"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",1.79,needs size estimate,ERG,Electrophysiology,NA,14,NA,NA,NA,14,individual value ; scotopic,,,Not sure why they don't use this,,,,,,,,,
"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",y,M,Malacostraca,NA,Gastroptychus spinifer,Gastroptychus_spinifer,"Gastroptychus spinifer A.Milne Edwards, 1880",demersal,low,forage,"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",3.08,needs size estimate,ERG,Electrophysiology,mean,10,2,NA,10,12,"mean ; scotopic; ""deep-sea"" considered as Low light  exposure",,,,,,,,,,,,
"Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",y,E,Malacostraca,NA,Stylocheiron maximum,Stylocheiron_maximum,"Stylocheiron maximum Hansen, 1908",pelagic,low,ballistic,"feeds on copepods Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",0.048,"Roger, C., 1978. Bioecological sheets on tropical Pacific euphausiids (No. 36). IRD Editions.",ERG,Electrophysiology,NA,36,NA,NA,NA,36,36 Hz individual value; scotopic,,,,,,,,,,,,
"Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",y,M,Malacostraca,NA,Funchalia villosa,Funchalia_villosa,"Funchalia villosa Bouvier, 1905",demersal,low,ballistic,Based_on_ piscivorous_diet_sebase,3.968,Donnelly et al  Proximate and elemental composition and energy content of mesopelagic crustaceans from the Eastern Gulf of Mexico,ERG,Electrophysiology,mean,24,0.5,SE,24,24.5,"24 Hz mean ; scotopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",y,E,Malacostraca,NA,Sergia filictum,Sergia_filicta,"Phorcosergia filicta Burkenroad, 1940",pelagic,low,forage,comeback,1.011,Donnelly et al  Proximate and elemental composition and energy content of mesopelagic crustaceans from the Eastern Gulf of Mexico,ERG,Electrophysiology,NA,25,NA,NA,NA,25, 25 Hz individual value ; scotopic,,,,,,,,,,,,
"Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",y,M,Malacostraca,NA,Janicella spinacauda,Janicella_spinicauda,"Janicella spinicauda A.Milne-Edwards, 1883",demersal,low,ballistic,based_on_food_items_seabase_mainly_finfish,0.5,"from Romero_Romero, S., Choy, C.A., Hannides, C.C., Popp, B.N. and Drazen, J.C., 2019. Differences in the trophic ecology of micronekton driven by diel vertical migration. Limnology and oceanography, 64(4), pp.1473-1483.",ERG,Electrophysiology,mean,31,0.3,SE,31,31.3,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",y,M,Malacostraca,NA,Nematobrachion flexipes,Nematobrachion_flexipes,"Nematobrachion flexipes Ortmann, 1893",pelagic,low,ballistic,"feeds on copepods Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",0.038,"Roger, C., 1978. Bioecological sheets on tropical Pacific euphausiids (No. 36). IRD Editions.",ERG,Electrophysiology,mean,44,1,SE,44,45,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",y,M,Malacostraca,NA,Nematobrachion sexspinosus,Nematobrachion_sexspinosus,"Nematobrachion sexspinosum Hansen, 1911",pelagic,low,ballistic,"feeds on copepods Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",0.13,"Roger, C., 1978. Bioecological sheets on tropical Pacific euphausiids (No. 36). IRD Editions.",ERG,Electrophysiology,mean,56,2,SE,56,58,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",y,M,Malacostraca,NA,Oplophorus gracilirostris,Oplophorus_gracilirostris,"Oplophorus gracilirostris A.Milne-Edwards, 1881",pelagic,low,ballistic,feeds_on_finfish_and_other_nekton_from_sealifebase,0.26,needs size estimate,ERG,Electrophysiology,mean,32,0.5,SE,32,32.5,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",y,M,Malacostraca,NA,Systellaspis debilis,Systellaspis_debilis,"Systellaspis debilis A.Milne-Edwards, 1881",pelagic,low,ballistic,feeds_on_other_eupahsipds_from_sealife_base,5.43,from CL length of 1.7 and length weight from sealifebase,ERG,Electrophysiology,mean,21,0.6,SE,21,21.6,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,NA,Acanthephyra purpurea,Acanthephyra_purpurea,"Acanthephyra purpurea A.Milne-Edwards, 1881",pelagic,low,ballistic,"active_carnivore_from_Frank, T.M., 2003. Effects of light adaptation on the temporal resolution of deep-sea crustaceans. Integrative and comparative biology, 43(4), pp.559-570.",0.27,needs size estimate,ERG,Electrophysiology,mean,18,1.3,SE,18,19.3,"mean ; scotopic; 16Hz photopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,NA,Euphausia gibboides,Euphausia_gibboides,"Euphausia gibboides Ortmann, 1893",pelagic,low,forage,"Lower_trophic_level_with_size_indicating_mainly_detrus_feeding_from_Sogawa, S., Sugisaki, H., Tadokoro, K., Ono, T., Sato, E., Shimode, S. and Kikuchi, T., 2017. Feeding habits of six species of euphausiids (Decapoda: Euphausiacea) in the northwestern Pacific Ocean determined by carbon and nitrogen stable isotope ratios. The Journal of Crustacean Biology, 37(1), pp.29-36.",0.07,"median_CL_length_of_0.5cm_from_Sogawa, S., Sugisaki, H., Tadokoro, K., Ono, T., Sato, E., Shimode, S. and Kikuchi, T., 2017. Feeding habits of six species of euphausiids (Decapoda: Euphausiacea) in the northwestern Pacific Ocean determined by carbon and nitrogen stable isotope ratios. The Journal of Crustacean Biology, 37(1), pp.29-36.",ERG,Electrophysiology,minimum,>32,Unknown,NA,32,32,"24  ± 0.9 Hz mean ; scotopic ; >32 Hz individual value photopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,NA,Sergestes arcticus,Sergestes_arcticus,"Eusergestes arcticus Krøyer, 1855",pelagic,low,ballistic,"Feeds_on_copepods_and_chaetognaths_Sealife_base_	Squires, H.J. 1996 Decapod crustaceans of Newfoundland, Labrador and the Canadian eastern Arctic. Fish. Res. Board Can., Manuscr. Rep. Ser. (Biol.) 810:212 p.",1.54,mean of genus from Donnelly et al 1993,ERG,Electrophysiology,mean,21,1.1,SE,21,22.2,"mean ; scotopic, 16 Hz photopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,NA,Funchalia villosa,Funchalia_villosa,"Funchalia villosa Bouvier, 1905",demersal,low,ballistic,Based_on_ piscivorous_diet_sebase,3.968,Donnelly et al  Proximate and elemental composition and energy content of mesopelagic crustaceans from the Eastern Gulf of Mexico,ERG,Electrophysiology,mean,21,0.9,SE,21,21.9,"21  ± 0.9 Hz mean ; scotopic, 21   ± 1.2 Hz Hz photopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,NA,Janicella spinicauda,Janicella_spinicauda,"Janicella spinicauda A.Milne-Edwards, 1883",demersal,low,ballistic,based_on_food_items_seabase_mainly_finfish,0.5,"from Romero_Romero, S., Choy, C.A., Hannides, C.C., Popp, B.N. and Drazen, J.C., 2019. Differences in the trophic ecology of micronekton driven by diel vertical migration. Limnology and oceanography, 64(4), pp.1473-1483.",ERG,Electrophysiology,mean,23,0.4,SE,23,23.4,"23  ± 0.4 Hz mean ; scotopic, 29 Hz photopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,NA,Meganyctiphanes norvegica,Meganyctiphanes_norvegica,"Meganyctiphanes norvegica M.Sars, 1857",pelagic,low,forage,"feeding_on_copepods_Schmidt, K., 2010. Food and feeding in Northern krill (Meganyctiphanes norvegica Sars). Advances in marine biology, 57, pp.127-171.",0.43,converted dry wieght of 86.72mg to wet mass by assuming 20% conversion,ERG,Electrophysiology,mean,41,2.5,SE,41,43.5,"23  ± 0.7 Hz mean ; scotopic ; 41 Hz photopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,test_this,,,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,NA,Nematobrachion boopis,Nematobrachion_boopis,"Nematobrachion boopis Calman, 1905",pelagic,low,ballistic,"feeds on copepods Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",0.072,"Roger, C., 1978. Bioecological sheets on tropical Pacific euphausiids (No. 36). IRD Editions.",ERG,Electrophysiology,minimum,>50,Unknown,NA,50,50,"33  ± 1.9 Hz mean ; scotopic ; >50 Hz individual value photopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,NA,Nematobrachion sexspinosus,Nematobrachion_sexspinosum,"Nematobrachion sexspinosum Hansen, 1911",pelagic,low,ballistic,"feeds on copepods Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",0.13,needs size estimate,ERG,Electrophysiology,mean,54,1.6,SE,54,55.6,"36  ± 2.5 Hz mean ; scotopic ; 54 photopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,NA,Nematocelis megalops,Nematoscelis_megalops,"Nematoscelis megalops G.O.Sars, 1883",pelagic,low,ballistic,"based on description from Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",0.066,needs size estimate,ERG,Electrophysiology,mean,48,2.3,SE,48,50.3,"28  ± 2 Hz mean ; scotopic ; 48 Hz photopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,NA,Pasiphaea multidentata,Pasiphaea_multidentata,"Pasiphaea multidentata Esmark, 1866",pelagic,low,ballistic,Based_on_ piscivorous_diet_seabase,3.87,based_on_CL_of_2.6_and_allomtery_in_seabase,ERG,Electrophysiology,mean,21,1.5,SE,21,22.5,"mean ; scotopic, 19 Hz photopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,NA,Plesionika rossignoli,Plesionika_rossignoli,"Plesionika rossignoli Crosnier & Forest, 1968",pelagic,low,ballistic,"from descriptions across genus in Fanelli, E. and Cartes, J.E., 2004. Feeding habits of pandalid shrimps in the Alboran Sea (SW Mediterranean): influence of biological and environmental factors. Marine Ecology Progress Series, 280, pp.227-238.",0.25,needs size estimate,ERG,Electrophysiology,mean,14,1,SE,14,15,"mean ; scotopic,13  Hz photopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,NA,Stylocheiron maximum,Stylocheiron_maximum,"Stylocheiron maximum Hansen, 1908",pelagic,low,ballistic,"based on description from Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",0.048,needs size estimate,ERG,Electrophysiology,mean,44,1,SE,44,45,"34  ± 1.8 Hz mean ; scotopic; 44Hz photopic; ""deep-sea"" considered as Low light exposure; ""Acceptable V/log I curves were not obtained from S. maximum; therefore, K and latency data are also not available for this species. """,,,,,,,,,,,,
"Frank, TM 2003 Effects of light adaptation on the temporal resolution of deep-sea crustaceans Effects of light adaptation on the temporal resolution of deep-sea crustaceans Frank, TM",y,M,Malacostraca,NA,Systellaspis debilis,Systellaspis_debilis,"Systellaspis debilis A.Milne-Edwards, 1881",pelagic,low,ballistic,based_on_food_items_including_cephlopods_seabase,0.28,needs size estimate,ERG,Electrophysiology,mean,21,0.3,SE,21,21.3,"mean ; scotopic, 15 Hz photopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 2000 Temporal resolution in mesopelagic crustaceans Temporal resolution in mesopelagic crustaceans Frank, TM",y,M,Malacostraca,NA,Sergestes arcticus,Sergestes_arcticus,"Eusergestes arcticus Krøyer, 1855",demersal,low,ballistic,Feeds on calanoid copepods and chaetognaths_seabase,0.29,from_mean_of_0.95cm_from_seabase_scaling,ERG,Electrophysiology,mean,17,1.3,SE,17,18.3,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 2000 Temporal resolution in mesopelagic crustaceans Temporal resolution in mesopelagic crustaceans Frank, TM",y,M,Malacostraca,NA,Funchalia villosa,Funchalia_villosa,"Funchalia villosa Bouvier, 1905",demersal,low,ballistic,Based_on_ piscivorous_diet_seabase,3.968,Donnelly et al  Proximate and elemental composition and energy content of mesopelagic crustaceans from the Eastern Gulf of Mexico,ERG,Electrophysiology,mean,21,0.9,SE,21,21.9,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 2000 Temporal resolution in mesopelagic crustaceans Temporal resolution in mesopelagic crustaceans Frank, TM",y,E,Malacostraca,NA,Sergia grandis,Sergia_grandis,"Phorcosergia grandis Sund, 1920",pelagic,low,ballistic,comeback,1.8,Donnelly et al  Proximate and elemental composition and energy content of mesopelagic crustaceans from the Eastern Gulf of Mexico,ERG,Electrophysiology,NA,22,NA,NA,NA,22,individual value ; scotopic,,,,,,,,,,,,
"Frank, TM 2000 Temporal resolution in mesopelagic crustaceans Temporal resolution in mesopelagic crustaceans Frank, TM",y,M,Malacostraca,NA,Pasiphaea multidentata,Pasiphaea_multidentata,"Pasiphaea multidentata Esmark, 1866",pelagic,low,ballistic,Based_on_ piscivorous_diet_seabase,3.87,based_on_CL_of_2.6_and_allomtery_in_seabase,ERG,Electrophysiology,mean,17,1,SE,17,18,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 2000 Temporal resolution in mesopelagic crustaceans Temporal resolution in mesopelagic crustaceans Frank, TM",y,M,Malacostraca,NA,Sergia filictum,Sergia_filicta,"Phorcosergia filicta Burkenroad, 1940",pelagic,low,ballistic,comeback,1.011,Donnelly et al  Proximate and elemental composition and energy content of mesopelagic crustaceans from the Eastern Gulf of Mexico,ERG,Electrophysiology,mean,24,1,SE,24,25,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 2000 Temporal resolution in mesopelagic crustaceans Temporal resolution in mesopelagic crustaceans Frank, TM",y,M,Malacostraca,NA,Phronima sedenteria,Phronima_sedentaria,"Phronima sedentaria Forskål, 1775",pelagic,low,ballistic,"described_as_Phronima is a carnivorous predator feeding mainly on crustaceans, cnidarians, thaliaceans, and chaetognaths in Diebel, C.E., 1988. Observations on the anatomy and behavior of Phronima sedentaria (Forskal)(Amphipoda: Hyperiidea). Journal of crustacean biology, 8(1), pp.79-90",0.249,Elder et al 2015 Ecophysiological implications of vertical migration into oxygen minimum zones for the hyperiid amphipod Phronima sedentaria,ERG,Electrophysiology,mean,27,1,SE,27,28,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Frank, TM 2000 Temporal resolution in mesopelagic crustaceans Temporal resolution in mesopelagic crustaceans Frank, TM",y,M,Malacostraca,NA,Stylocheiron maximum,Stylocheiron_maximum,"Stylocheiron maximum Hansen, 1908",pelagic,low,ballistic,"based on description from Frank, TM 1999 Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Comparative study of temporal resolution in the visual systems of mesopelagic crustaceans Frank, TM",0.048,from orginal doc so check,ERG,Electrophysiology,mean,40,1.6,SE,40,41.6,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
"Fritsches, KA; Brill, RW; Warrant, EJ 2005 Warm eyes provide superior vision in swordfishes Warm eyes provide superior vision in swordfishes Fritsches, KA; Brill, RW; Warrant, EJ",y,M,Actinopterygii,Yellowfin tuna,Thunnus albacares,Thunnus_albacares,"Thunnus albacares Bonnaterre, 1788",pelagic,high,pursuit,"Schaefer, K.M., Fuller, D.W. and Block, B.A., 2007. Movements, behavior, and habitat utilization of yellowfin tuna (Thunnus albacares) in the northeastern Pacific Ocean, ascertained through archival tag data. Marine Biology, 152, pp.503-525.",25317,"Schaefer, K.M., Fuller, D.W. and Block, B.A., 2007. Movements, behavior, and habitat utilization of yellowfin tuna (Thunnus albacares) in the northeastern Pacific Ocean, ascertained through archival tag data. Marine Biology, 152, pp.503-525.",ERG,Electrophysiology,minimum,>50,Unknown,NA,50,50,"diagram reading; at 25 °C, maximum for experiment",,,,,,,,,,,,
"Fritsches, KA; Brill, RW; Warrant, EJ 2005 Warm eyes provide superior vision in swordfishes Warm eyes provide superior vision in swordfishes Fritsches, KA; Brill, RW; Warrant, EJ",y,M,Actinopterygii,Bigeye tuna,Thunnus obesus,Thunnus_obesus,"Thunnus obesus Lowe, 1839",pelagic,low,pursuit,"Schaefer, K.M., Fuller, D.W. and Block, B.A., 2007. Movements, behavior, and habitat utilization of yellowfin tuna (Thunnus albacares) in the northeastern Pacific Ocean, ascertained through archival tag data. Marine Biology, 152, pp.503-525.",210000,"Schaefer, K.M., Fuller, D.W. and Block, B.A., 2007. Movements, behavior, and habitat utilization of yellowfin tuna (Thunnus albacares) in the northeastern Pacific Ocean, ascertained through archival tag data. Marine Biology, 152, pp.503-525.",ERG,Electrophysiology,extrapolation,~37.7,Unknown,NA,38,38,diagram readings; at 25°C,,,,,,,,,,,,
"Fritsches, KA; Brill, RW; Warrant, EJ 2005 Warm eyes provide superior vision in swordfishes Warm eyes provide superior vision in swordfishes Fritsches, KA; Brill, RW; Warrant, EJ",y,M,Actinopterygii,Swordfish,Xiphias gladius,Xiphias_gladius,"Xiphias gladius Linnaeus, 1758",pelagic,low,pursuit,Description_fishbase,354844,total_common_length_of_300_fishbase_allometry,ERG,Electrophysiology,minimum,>40,Unknown,NA,40,40,"at 20°C, 5 Hz at 10°C but eye biological temperature between 19°C and 28°C",,,,,,,,,,,,
"Ginsburg, N.; Nilsson, V. 1971 MEASURING FLICKER THRESHOLDS IN THE BUDGERIGAR MEASURING FLICKER THRESHOLDS IN THE BUDGERIGAR Ginsburg, N.; Nilsson, V.",y,M,Aves,Buderigar,Melopsittacus undulatus,Melopsittacus_undulatus,"Melopsittacus undulatus Shaw, 1805",volant,high,forage,Handbook_birds_of_the_world,29.05,amniote,Behavioural,Behavioural,range,64.0 - 74.7,Unknown,NA,69.35,74.7,range of individual (repetition) mean of CFF (for all trials for each individual) at highest light intensity ,,,,,,,,,,,,
