,taxa_group,taxa_phyla,taxa_class,Light_Level_old,Light_Level,Method,Max_CFF_Hz,Bodymass.g.,Habitat,mode_of_life,animal
Micropogonias_undulatus,vert,fish,fish,high,high,ERG,59,2600,demersal,pred_forage,Micropogonias_undulatus
Periplaneta_americana,invert,arthropod,insect,low,low,ERG,60,42.5,terrestrial,scavenger,Periplaneta_americana
Jasus_edwardsii,invert,arthropod,crustacean,low,low,ERG,60,226.4,demersal,pred_forage,Jasus_edwardsii
Homo_sapiens,vert,mammalia,primate,high,high,Beh,60,67100,terrestrial,pred_forage,Homo_sapiens
Paralabrax_nebulifer,vert,fish,fish,high,high,VEP,60,6000,marine_reef,pred_ballistic,Paralabrax_nebulifer
Cynoscion_nebulosus,vert,fish,fish,high,high,ERG,60,7900,demersal,pred_ballistic,Cynoscion_nebulosus
Chaetodipterus_faber,vert,fish,fish,high,high,ERG,60,9000,marine_reef,pred_forage,Chaetodipterus_faber
Tamiasciurus_hudsonicus,vert,mammalia,rodent,high,high,ERG,65,215,arboreal,herbivore,Tamiasciurus_hudsonicus
Rachycentron_canadum,vert,fish,fish,high,high,ERG,65,68000,marine_reef,pred_pursuit,Rachycentron_canadum
Salvelinus_fontinalis,vert,fish,fish,high,high,ERG,67,8000,benthopelagic,pred_ballistic,Salvelinus_fontinalis
Carassius_auratus,vert,fish,fish,high,high,ERG,67.2,10.8,benthopelagic,pred_forage,Carassius_auratus
Asio_flammeus,vert,aves,aves,high,low,ERG,67.5,406,volant,pred_pursuit,Asio_flammeus
Tupaia_belangeri,vert,mammalia,shrew,high,high,Beh,70,270,arboreal,herbivore,Tupaia_belangeri
Morone_saxatilis,vert,fish,fish,high,high,ERG,74,57000,demersal,pred_ballistic,Morone_saxatilis
Melopsittacus_undulatus,vert,aves,aves,high,high,Beh,74.7,33.6,volant,herbivore,Melopsittacus_undulatus
Canis_lupus,vert,mammalia,mammalia,high,high,Beh,75,13900,terrestrial,pred_forage,Canis_lupus
