"","taxa_group","taxa_phyla","taxa_class","Light_Level","Method","Max_CFF_Hz","Bodymass.g.","Habitat","mode_of_life","animal"
"Chaetodipterus_faber","vert","fish","fish","high","ERG",60,9000,"marine_reef","pred_forage","Chaetodipterus_faber"
"Tautoga_onitis","vert","fish","fish","high","ERG",48,11300,"marine_reef","pred_forage","Tautoga_onitis"
"Oncorhynchus_mykiss","vert","fish","fish","low","Beh",27,4000,"benthopelagic","pred_ballistic","Oncorhynchus_mykiss"
"Salmo_salar","vert","fish","fish","high","ERG",96,35000,"benthopelagic","pred_ballistic","Salmo_salar"
"Salvelinus_fontinalis","vert","fish","fish","high","ERG",67,8000,"benthopelagic","pred_ballistic","Salvelinus_fontinalis"
"Carassius_auratus","vert","fish","fish","high","ERG",67.2,10.8,"benthopelagic","pred_forage","Carassius_auratus"
"Anguilla_anguilla","vert","fish","fish","low","Beh",14,71.1,"demersal","pred_forage","Anguilla_anguilla"
"Amia_calva","vert","fish","fish","low","ERG",38,9800,"demersal","pred_ballistic","Amia_calva"
"Leucoraja_erinacea","vert","elasmo","skate","low","ERG",30,500,"demersal","pred_ballistic","Leucoraja_erinacea"
"Rhinobatos_productus","vert","elasmo","skate","low","VEP",30,9800,"demersal","pred_forage","Rhinobatos_productus"
"Squalus_acanthias","vert","elasmo","shark","low","ERG",20,2000,"demersal","pred_forage","Squalus_acanthias"
"Galeocerdo_cuvier","vert","elasmo","shark","low","ERG",38,807400,"benthopelagic","pred_ballistic","Galeocerdo_cuvier"
"Sphyrna_lewini","vert","elasmo","shark","low","ERG",27.3,1893,"pelagic","pred_ballistic","Sphyrna_lewini"
"Carcharhinus_plumbeus","vert","elasmo","shark","high","ERG",54,4700,"benthopelagic","pred_ballistic","Carcharhinus_plumbeus"
"Carcharhinus_acronotus","vert","elasmo","shark","low","ERG",18,14491,"pelagic","pred_ballistic","Carcharhinus_acronotus"
"Negaprion_brevirostris","vert","elasmo","shark","low","ERG",37,92987,"demersal","pred_ballistic","Negaprion_brevirostris"
"Mustelus_canis","vert","elasmo","shark","low","ERG",13,1570,"demersal","pred_forage","Mustelus_canis"
"Mustelus_manazo","vert","elasmo","shark","low","ERG",10,5700,"demersal","pred_forage","Mustelus_manazo"
